id,lastName,firstName,slug,bio,authorsWeb,artlistcz,artmap,wikipedie,facebook,instagram,publish
,Bornová,Erika,erika-bornova,,,https://artlist.cz/umelci/erika-bornova/,https://www.artmap.cz/artist/erika-bornova/,,,,TRUE
,Fexová,Patricie,patricie-fexova,,https://patriciefexova.cz,https://artlist.cz/umelci/patricie-fexova/,https://www.artmap.cz/artist/patricie-fexova/,,,,TRUE
,Jedlička,Jan,jan-jedlicka,,https://portfolio-autora-a.com,,https://www.artmap.cz/jan-jedlicka/,,,,TRUE
,Jetelová,Magdalena,magdalena-jetelova,,https://jetelova.de,https://artlist.cz/umelci/magdalena-jetelova/,,https://cs.wikipedia.org/wiki/Magdalena_Jetelová,,,TRUE
,Kindernay,Michal,michal-kindernay,,,,,https://cs.wikipedia.org/wiki/Michal_Kindernay,,https://www.instagram.com/kindernay.michal/?hl=cs,TRUE
,Svobodová,Jitka,jitka-svobodova,,,https://artlist.cz/umelci/jitka-svobodova/,,https://cs.wikipedia.org/wiki/Jitka_Svobodová,,,TRUE
,Milde,Kristýna a Marek,milde,,http://www.mildeart.com,,,,,https://www.instagram.com/kristynamilde/,TRUE
